"","trial_number","trap_number","prawn_id","stage","treatment","abdomen_turgor","abdomen_retraction","leg_movement","leg_retraction","maxilliped_movement","maxilliped_retraction","antenna","eye_turgor","pleopods","mouth","comments","Person","All_id","score"
"62",9,6,62,2,0,1,1,1,1,1,1,1,1,0,1,"","EA","9 - 6 - 62",9
"63",9,6,63,1,30,0,0,0,0,0,0,0,0,0,0,"","EA","9 - 6 - 63",0
"64",9,6,64,2,60,1,0,1,1,1,1,1,1,1,1,"","EA","9 - 6 - 64",9
"65",9,6,65,1,0,0,0,1,0,1,1,0,1,0,1,"","EA","9 - 6 - 65",5
"66",9,6,66,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 6 - 66",10
"67",9,6,67,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 6 - 67",10
"68",9,6,68,1,60,0,0,1,1,1,1,0,1,0,1,"","EA","9 - 6 - 68",6
"69",9,6,69,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","9 - 6 - 69",10
"70",9,6,70,1,30,0,0,1,1,1,1,0,1,0,1,"","EA","9 - 6 - 70",6
"71",4,1,1,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 1 - 1",10
"72",4,1,2,3,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 1 - 2",10
"73",4,1,3,3,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 1 - 3",10
"74",4,1,4,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 1 - 4",10
"75",4,1,5,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 1 - 5",10
"76",4,1,6,2,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 1 - 6",10
"77",4,1,7,3,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 1 - 7",10
"78",4,1,8,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 1 - 8",10
"79",4,1,9,2,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 1 - 9",10
"80",4,1,10,2,90,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 1 - 10",10
"81",4,1,11,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 1 - 11",10
"82",4,1,12,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 1 - 12",10
"83",4,1,13,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 1 - 13",10
"84",4,1,14,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 1 - 14",10
"85",4,1,15,1,0,1,1,1,1,1,1,1,1,0,1,"","EA","4 - 1 - 15",9
"86",4,1,16,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 1 - 16",10
"87",4,1,17,1,0,1,1,1,1,1,1,0,1,1,1,"","EA","4 - 1 - 17",9
"88",4,1,18,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 1 - 18",10
"89",4,1,19,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 1 - 19",10
"90",4,1,20,3,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 1 - 20",10
"91",4,2,21,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 21",10
"92",4,2,22,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 22",10
"93",4,2,23,1,90,1,0,1,1,1,1,1,0,1,1,"","EA","4 - 2 - 23",8
"94",4,2,24,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","4 - 2 - 24",10
