trial_number,site_name,initial_set_date,initial_set_time,experiment_set_date,experiment_set_time,exp_set_lat_1,exp_set_lon_1,exp_set_depth_1,exp_set_lat_2,exp_set_lon_2,exp_set_depth_2,exp_set_temp_air,exp_set_temp_0m,exp_set_sal_0m,exp_set_temp_10m,exp_set_sal_10m,exp_set_tote_temp,exp_set_tote_sal,cloud_cover_percent,experiment_haul_date,experiment_haul_time,exp_haul_lat_1,exp_haul_lon_1,exp_haul_depth_1,exp_haul_lat_2,exp_haul_lon_2,exp_haul_depth_2,exp_haul_temp_air,exp_haul_temp_0m,exp_haul_sal_0m,exp_haul_temp_10m,exp_haul_sal_10m,exp_haul_tote_temp,exp_haul_tote_sal,immediate_release_number,30min_number,1h_number,1h30min_numner,2h_number,bags_out_of_water_time,last_trap_set_time,total_end_process_time,comments
10,misty_blunden_mouth,6/3/2022,12:30,6/5/2022,7:49,50 44.690,126 38.375,38,50 44.645,126 38.554,32,15.5,10.1,30,9.5,30.6,,,100,6/6/2022,7:58,50 44.656,126 38.392,26.03,50 44.645,126 38.516,30.71,12.8,10,28.9,9.3,31.2,,,54,54,54,54,54,11:01,11:12,0:11,
13,echo_bay_powell_point,6/15/2022,10:30,6/16/2022,9:18,50 45.660,126 29.693,51,50 45.768,126 29.585,43,12,11.5,22,,,10.8,24.5,100,6/17/2022,9:20,50 45.692,126 29.625,47.61,50 45.729,126 29.585,42.97,11.8,,13,,,11,24.5,56,56,56,56,0,11:39,11:47,0:08,
15,john_island_east,6/18/2022,12:30,6/19/2022,9:33,50 46.417,126 36.307,47,50 46.414,126 36.234,49,11.9,,,,,10.5,27.5,100,6/20/2022,,50 46.406,126 36.284,47,50 46.434,126 36.270,50,15.5,,25,,,10.9,26,70,70,70,70,70,12:29,12:38,0:09,
20,south_of_hayle_point,6/23/2022,11:00,6/25/2022,9:20,50 48.705,126 33.759,48,50 48.768 ,126 33.839,31,25.7,14.6,16.2,9.5,29.2,12.2,25.4,0,6/26/2022,9:03,50 48.782,126 33.948,33,50 48.757,126 33.846,25,,15.1,10.8,10,28.8,12.5,25.2,70,70,70,70,70,12:33,12:42,0:09,one 60 min prawn did not make it down 
17,davies_island_fifeside,6/19/2022,12:45,,11:25,50 46.584,126 35.756,40,50 46.571,126 35.956,38,14.3,,19,,,10,29,100,6/22/2022,,50 46.586,126 35.844,53,50 46.582,126 35.720,40,10.9,,21,9.4,29.3,11.7,24.6,60,60,60,60,60,14:29,14:39,0:10,ysi returned for end of experiment. Noticed reflexes declining traps 4-6
21,birmingham_island,6/25/2022,13:10,,11:50,50 48.337,126 33.002,44,50 48.273,126 32.969,42,22.2,15.5,17.2,9.7,28.8,12.9,24.7,10,6/27/2022,8:40,50 48.325,126 32.971,47,50 48.279,126 32.939,47,13.6,15.8,15.9,10.4,28.1,13.4,24,44,44,44,44,0,14:17,14:25,0:08,
19,btwn_john_davies,6/21/2022,14:00,6/23/2022,9:13,50 46.417,126 36.183,42,50 46.352,126 36.275,35,13.3,12.1,21.4,9.4,25.7,11.6,25.1,25,6/24/2022,12:50,50 46.369,126 36.211,43,50 46.419,126 36.241,51,22.9,14.5,20.1,9.2,30.2,11.7,26.1,70,70,70,70,70,12:05,12:14,0:09,"start air temp changed to 7.8 or 17.8 while waiting (cannot read field sheet). Immediate release and 30 min mesh bags pulled up and put in tote to get deeper. One white prawn didn't make it down, found in tote later."
18,haylebay_haylepoint,6/20/2022,10:45,6/22/2022,12:00,50 48.894,126 33.860,37,50 48.856,126 33.908,57,11.5,12.3,23.3,9.4,29.3,11.5,25.6,90,6/23/2022,13:34,50 48.925,126 33.769,29,50 48.914,126 33.852,31,12.4,14.4,16.7,9.4,29.2,11.6,26.5,70,69,70,70,70,14:49,,0,one blue prawn didn't make it down
23,deep_harbour_mouth_east,6/27/2022,14:15,6/28/2022,10:01,50 48.011,126 36.436,26,50 47.948,126 36.369,45,18.7,15.7,20.1,9.7,29.4,12.5,25.9,25,6/29/2022,8:36,50 48.029,126 36.499,41,50 47.986,126 36.420,38,15.6,14.7,21.7,4.5,30.4,13,25,60,60,60,60,60,12:56,13:05,0:09,
