trial_number,trap_number,prawn_id,stage,treatment,abdomen_turgor,abdomen_retraction,leg_movement,leg_retraction,maxilliped_movement,maxilliped_retraction,antenna,eye_turgor,pleopods,mouth,comments
11,1,16,2,60,1,1,1,1,1,1,1,1,0,1,
11,1,17,2,0,0,0,1,1,1,1,1,1,0,1,
11,1,18,1,60,1,1,1,1,1,1,1,1,1,1,
11,1,19,1,60,1,1,1,1,1,1,1,1,1,1,
11,1,20,1,60,0,0,0,1,1,1,1,1,0,1,
11,1,21,2,90,1,1,1,1,1,1,1,1,1,1,
11,1,22,1,60,0,0,0,0,0,0,0,0,0,0,
11,1,23,1,120,1,1,1,0,1,1,1,1,0,1,
11,1,24,1,60,1,1,1,1,1,1,1,1,1,1,
11,2,25,2,60,1,1,1,1,1,1,1,1,0,1,
11,2,26,3,0,1,1,1,1,1,1,1,1,1,1,
11,2,27,1,30,0,0,0,0,0,0,0,0,0,0,
11,2,28,2,0,1,1,1,1,1,1,1,1,1,1,
11,2,29,2,60,0,0,1,1,1,1,1,1,0,1,
11,2,30,1,0,1,1,1,1,1,1,1,1,1,1,
11,2,31,1,30,1,1,1,1,1,1,1,1,1,1,
11,2,32,2,90,0,0,0,0,0,0,0,0,0,0,
11,2,33,1,0,1,1,1,1,1,1,1,1,1,1,
11,2,34,2,0,1,1,1,1,1,1,1,1,1,1,
11,2,35,1,30,1,1,1,1,1,1,1,1,1,1,
11,2,36,2,0,1,1,1,1,1,1,1,1,1,1,
11,2,37,1,0,1,1,1,1,1,1,1,1,1,1,
11,2,38,1,120,1,0,1,0,1,0,0,0,1,1,
11,2,39,1,90,1,1,1,1,1,1,1,1,1,1,
11,2,40,1,60,0,0,1,1,1,1,1,1,0,1,
11,2,41,1,90,1,1,1,1,1,1,1,1,1,1,
11,2,42,1,30,1,1,1,1,1,1,1,1,1,1,
11,2,43,1,60,0,0,1,1,1,1,1,0,1,1,
11,2,44,1,60,0,0,0,0,0,0,0,0,0,0,
11,2,45,1,0,1,1,1,1,1,1,1,1,1,1,
11,2,46,1,30,0,0,1,1,1,1,1,1,0,1,
11,2,47,1,60,0,0,0,0,0,0,0,0,0,0,
11,3,48,1,30,0,0,0,0,0,0,0,0,0,0,
11,3,49,3,30,1,1,1,1,1,1,1,1,1,1,
11,3,50,1,60,1,1,1,1,1,1,1,1,1,1,
11,3,51,3,0,1,1,1,1,1,1,1,1,1,1,
11,3,52,1,60,1,1,1,1,1,1,1,1,1,1,
11,3,53,1,60,0,0,1,1,1,1,1,1,0,1,
11,3,54,3,0,1,1,1,1,1,1,1,1,1,1,
11,3,55,1,0,1,1,1,1,1,1,1,1,1,1,
11,3,56,1,60,1,1,1,1,1,1,1,1,0,1,
11,3,57,2,0,1,1,1,1,1,1,1,1,1,1,
11,3,58,1,90,1,1,1,1,1,1,1,1,1,1,
11,3,59,1,30,1,1,1,1,1,1,1,1,1,1,
11,3,60,1,30,1,1,1,1,1,1,1,1,1,1,
11,3,61,1,30,1,1,0,0,0,0,0,1,0,0,
11,3,62,3,90,1,1,1,1,1,1,1,1,1,1,
11,3,63,1,30,0,0,1,1,1,1,0,1,0,1,
11,3,64,1,90,1,1,1,1,1,1,1,1,1,1,
11,3,65,1,90,1,1,1,1,1,1,1,1,1,1,
11,3,66,1,120,1,1,1,1,1,1,1,1,1,1,
11,4,67,1,30,1,1,1,1,1,1,1,1,1,1,
11,4,68,2,90,1,1,1,1,1,1,1,1,1,1,
11,4,69,3,0,1,1,1,1,1,1,1,1,1,1,
11,4,70,1,0,1,1,1,1,1,1,1,1,1,1,
11,4,71,1,60,1,1,1,1,1,1,1,1,1,1,
11,4,72,2,60,1,1,1,1,1,1,1,1,1,1,
11,4,73,1,30,1,1,1,1,1,1,1,1,1,1,
11,4,74,1,120,1,1,1,1,1,1,1,1,1,1,
11,4,75,1,60,1,1,1,1,1,1,1,1,1,1,
11,4,76,2,30,1,1,1,1,1,1,0,1,1,1,
11,4,77,1,60,1,1,1,1,1,1,1,1,1,1,
11,4,78,3,0,1,1,1,1,1,1,1,1,1,1,
11,4,79,1,90,1,1,1,1,1,1,1,1,1,1,
11,4,80,1,120,1,1,1,1,1,1,1,1,1,1,
11,4,81,1,60,0,0,0,0,0,0,0,0,0,0,
11,4,82,3,30,1,1,1,1,1,1,1,1,1,1,
11,4,83,1,30,0,0,1,1,1,1,1,1,0,1,
11,4,84,1,120,1,1,1,1,1,1,1,1,1,1,
11,4,85,1,30,1,1,1,1,1,1,1,1,1,1,
11,4,86,1,90,1,0,1,1,1,1,1,1,0,1,
11,5,87,3,0,1,1,1,1,1,1,1,1,1,1,
11,5,88,1,60,0,0,0,0,0,0,0,1,0,0,
11,5,89,1,60,1,1,1,1,1,1,1,1,1,1,
11,5,90,2,60,1,1,1,1,1,1,1,1,1,1,
11,5,91,1,30,1,1,1,1,1,1,1,1,1,1,
11,5,92,1,90,0,0,0,0,0,0,0,0,0,0,
11,5,93,2,0,1,1,1,1,1,1,1,1,1,1,
11,5,94,2,60,1,1,1,1,1,1,1,1,1,1,
11,5,95,1,90,0,0,1,1,1,1,1,1,0,1,
11,5,96,1,30,0,0,1,1,1,1,0,1,0,0,
11,5,97,2,60,0,0,1,1,1,1,1,1,0,1,
11,5,98,1,0,1,1,1,1,1,1,1,1,1,1,
11,5,99,1,30,1,0,1,1,1,1,1,1,0,1,
11,5,100,1,0,0,0,1,1,1,1,1,1,0,1,
11,5,101,1,60,0,0,1,1,1,1,1,1,0,1,
11,5,102,1,90,1,1,1,1,1,1,1,1,1,1,
11,6,103,1,60,1,1,1,1,1,1,1,1,1,1,
11,6,104,3,0,1,1,1,1,1,1,1,1,1,1,
11,6,105,2,90,1,1,1,1,1,1,1,1,1,1,
11,6,106,1,30,1,1,0,0,0,0,0,1,1,1,
11,6,107,1,30,1,1,1,1,1,1,1,1,1,1,
11,6,108,1,90,1,1,1,1,1,1,1,1,1,1,
11,6,109,1,0,1,1,1,1,1,1,1,1,1,1,
11,6,110,3,60,1,1,1,1,1,1,1,1,1,1,
11,6,111,1,90,0,0,0,0,0,0,0,1,0,0,
11,6,112,3,60,0,0,1,1,1,1,1,1,0,1,
11,6,113,1,30,0,0,0,0,0,0,0,1,0,0,
11,6,114,1,60,0,0,0,0,0,0,0,1,0,0,
11,6,115,1,30,1,1,1,1,1,1,1,1,1,1,
11,6,116,3,60,1,1,1,1,1,1,1,1,1,1,
11,6,117,0,0,1,1,1,1,1,1,1,1,1,1,
11,6,118,1,30,0,0,0,0,0,0,0,0,0,0,
11,6,119,1,30,0,0,1,1,1,1,1,1,0,1,
16,6,1,2,0,1,1,0,0,1,1,0,1,1,1,
16,1,2,1,120,1,1,1,1,1,1,0,1,1,1,
16,1,3,2,0,0,0,1,1,1,1,1,1,1,1,
16,1,4,1,30,1,1,1,1,1,1,1,1,1,1,
16,1,5,1,0,1,1,1,1,1,1,1,1,1,1,
16,1,6,1,0,1,1,1,1,1,1,1,1,1,1,
16,1,7,1,60,0,1,1,1,1,1,1,1,0,1,
16,1,8,2,30,1,1,1,1,1,1,1,1,1,1,
16,1,9,1,90,1,1,1,1,1,1,1,1,1,1,
16,1,10,2,90,1,1,1,1,1,1,1,1,1,1,
16,1,11,2,30,1,1,1,0,1,1,1,1,1,1,
16,1,12,2,30,1,1,1,1,1,1,1,1,1,1,
16,1,13,1,60,1,1,1,1,1,1,1,1,1,1,
16,1,14,1,60,1,1,1,1,1,1,1,1,1,1,
16,1,15,3,0,1,1,1,1,1,1,1,1,1,1,
16,1,16,1,30,1,1,1,1,1,1,1,1,0,1,
16,1,17,1,0,1,1,1,1,1,1,1,1,1,1,
16,1,18,1,0,1,1,1,1,1,1,1,1,1,1,
16,1,19,1,60,0,0,1,0,1,1,1,1,0,1,
16,1,20,3,0,1,1,1,1,1,1,1,1,1,1,
16,1,21,1,0,0,0,1,0,1,0,1,1,0,1,
16,2,22,3,0,0,0,1,1,1,1,1,1,1,1,
